time,views
1722732784.1034398,11876902.0
1722732793.6440575,11877046.0
1722732803.7686114,11877190.0
1722732812.7298856,11877397.0
1722732823.732027,11877550.0
1722732833.2017689,11877703.0
1722732843.7002816,11877892.0
1722732854.4516695,11878090.0
1722732863.6678033,11878207.0
1722732873.8054492,11878387.0
1722732883.6363692,11878585.0
1722732893.774232,11878630.0
1722732903.6059635,11878837.0
1722732912.8886638,11878954.0
1722732923.8803937,11879107.0
1722732933.7103176,11879332.0
1722732943.849255,11879449.0
1722732953.6781826,11879602.0
1722732963.072356,11879827.0
1722732973.3398583,11879926.0
1722732983.7868245,11880106.0
1722732993.614499,11880322.0
1722733003.7521884,11880484.0
1722733013.5823913,11880628.0
1722733023.5599096,11880817.0
1722733033.2435448,11880970.0
1722733043.6883287,11881105.0
1722733053.8269355,11881330.0
1722733063.656424,11881528.0
1722733073.7943022,11881645.0
1722733083.624541,11881807.0
1722733093.7622168,11882005.0
1722733103.592559,11882050.0
1722733113.7304344,11882266.0
1722733123.86802,11882401.0
1722733133.5196767,11882563.0
1722733144.1434703,11882779.0
1722733153.666925,11882896.0
1722733163.804083,11883112.0
1722733173.6343734,11883310.0
1722733183.7723415,11883463.0
1722733193.6027663,11883607.0
1722733203.7401655,11883796.0
1722733213.5713916,11883949.0
1722733223.7093287,11884084.0
1722733234.1582787,11884291.0
1722733243.676399,11884444.0
1722733253.2005115,11884534.0
1722733263.6450179,11884741.0
1722733273.475122,11884858.0
1722733283.6129475,11885011.0
1722733293.750303,11885236.0
1722733303.5806959,11885362.0
1722733313.7191381,11885533.0
1722733323.3942504,11885758.0
1722733333.3793635,11885857.0
1722733343.5170429,11886046.0
1722733353.040219,11886244.0
1722733363.7922251,11886424.0
1722733373.6231594,11886559.0
1722733383.453344,11886748.0
1722733393.5911334,11886892.0
1722733403.421349,11887036.0
1722733413.5595655,11887225.0
1722733423.3895683,11887378.0
1722733433.527169,11887468.0
1722733443.3576934,11887684.0
1722733453.6268752,11887828.0
1722733463.3257744,11887981.0
1722733473.463205,11888197.0
1722733482.986468,11888305.0
1722733492.8964045,11888458.0
1722733503.569228,11888683.0
1722733513.7067888,11888782.0
1722733523.5371966,11888962.0
1722733533.6750083,11889169.0
1722733543.5051818,11889313.0
1722733553.3359814,11889457.0
1722733563.4733107,11889655.0
1722733572.9533992,11889709.0
1722733583.7486033,11889943.0
1722733593.5796156,11890141.0
1722733603.7168734,11890312.0
1722733613.854444,11890402.0
1722733623.3181026,11890609.0
1722733633.8237092,11890726.0
1722733643.7956376,11890888.0
1722733653.7908695,11891113.0
1722733663.6214612,11891239.0
1722733673.7594492,11891392.0
1722733683.5891874,11891608.0
1722733693.727259,11891716.0
1722733703.557869,11891905.0
1722733713.3891928,11892094.0
1722733723.8330624,11892202.0
1722733733.6633656,11892400.0
1722733743.8007874,11892589.0
1722733753.017122,11892643.0
1722733763.1547282,11892832.0
1722733773.5996685,11893075.0
1722733783.4297435,11893129.0
1722733793.5686686,11893318.0
1722733803.705243,11893525.0
1722733813.8425202,11893633.0
1722733823.6738083,11893804.0
1722733833.8109498,11894020.0
1722733843.6414673,11894137.0
1722733853.7793822,11894290.0
1722733863.6097114,11894506.0
1722733873.74736,11894623.0
1722733883.2410681,11894776.0
1722733893.716608,11895001.0
1722733903.5460932,11895109.0
1722733913.683635,11895289.0
1722733923.821744,11895487.0
1722733933.651732,11895640.0
1722733943.789973,11895784.0
1722733953.6198823,11895982.0
1722733963.4040284,11896135.0
1722733973.5876317,11896225.0
1722733983.726094,11896423.0
1722733993.5559502,11896540.0
1722734003.69356,11896711.0
1722734013.831416,11896927.0
1722734023.6617813,11897044.0
1722734033.799652,11897197.0
1722734043.9373198,11897404.0
1722734053.394497,11897530.0
1722734063.5980966,11897692.0
1722734073.7356675,11897917.0
1722734083.2585592,11898034.0
1722734093.703641,11898214.0
1722734103.5344887,11898412.0
1722734113.6716795,11898565.0
1722734123.809568,11898709.0
1722734133.3328812,11898916.0
1722734143.7775702,11899087.0
1722734153.6082013,11899222.0
1722734163.745646,11899330.0
1722734173.8833404,11899474.0
1722734183.714133,11899672.0
1722734193.1571915,11899843.0
1722734203.6818209,11900023.0
1722734214.1284783,11900176.0
